City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
69,Tigil,RU,57.8,158.6667,10.13,99,98,2.35,overcast clouds
70,Roald,NO,62.5833,6.1333,47.34,87,100,3.44,overcast clouds
71,Labuan,MY,5.2767,115.2417,79.81,80,99,6.15,overcast clouds
72,Puerto Del Rosario,ES,28.5004,-13.8627,69.55,78,0,13.8,clear sky
73,Sao Francisco,BR,-15.9486,-44.8644,80.26,69,88,2.53,overcast clouds
74,Saint-Philippe,RE,-21.3585,55.7679,76.59,81,52,12.19,broken clouds
75,Castro,BR,-24.7911,-50.0119,65.01,65,0,2.51,clear sky
76,Saskylakh,RU,71.9167,114.0833,10.8,93,99,14.14,overcast clouds
77,East London,ZA,-33.0153,27.9116,62.04,76,100,9.04,overcast clouds
78,Arraial Do Cabo,BR,-22.9661,-42.0278,73.26,73,75,16.11,broken clouds
79,Bredasdorp,ZA,-34.5322,20.0403,59.65,72,0,14.63,clear sky
80,Dingle,PH,10.9995,122.6711,75.6,90,37,4.85,scattered clouds
81,Tura,IN,25.5198,90.2201,69.89,74,3,6.91,clear sky
82,Georgetown,MY,5.4112,100.3354,80.53,89,20,0.0,few clouds
83,High Level,CA,58.5169,-117.136,29.3,90,100,6.22,light snow
84,Berbera,SO,10.4396,45.0143,82.26,82,87,6.78,overcast clouds
85,Puerto Leguizamo,CO,-0.1934,-74.7819,84.79,70,99,2.19,overcast clouds
86,Cidreira,BR,-30.1811,-50.2056,67.24,68,100,7.65,overcast clouds
87,Qaanaaq,GL,77.484,-69.3632,-9.47,78,74,4.72,broken clouds
88,Luwingu,ZM,-10.2621,29.9271,62.29,97,62,3.71,light rain
89,Glenwood Springs,US,39.5505,-107.3248,65.32,44,100,18.41,overcast clouds
90,Albany,US,42.6001,-73.9662,44.38,86,100,1.99,moderate rain
91,Ribeira Grande,PT,38.5167,-28.7,63.0,67,40,10.36,scattered clouds
92,Senno,RU,59.5336,33.9167,24.26,97,20,2.62,few clouds
93,Pudozh,RU,61.8099,36.5345,21.18,97,40,2.19,scattered clouds
94,Hobart,AU,-42.8794,147.3294,57.25,89,100,1.14,light rain
95,General Roca,AR,-39.0333,-67.5833,72.28,34,2,15.97,clear sky
96,Brae,GB,60.3964,-1.353,45.21,95,100,17.69,overcast clouds
97,Srednekolymsk,RU,67.45,153.6833,1.74,100,100,3.78,overcast clouds
98,Chicama,PE,-7.8447,-79.1469,64.94,63,65,10.96,broken clouds
99,Avarua,CK,-21.2078,-159.775,80.65,83,40,2.3,scattered clouds
100,Tual,ID,-5.6667,132.75,83.12,75,100,5.39,light rain
101,Sibolga,ID,1.7427,98.7792,77.49,87,86,3.09,overcast clouds
102,Iqaluit,CA,63.7506,-68.5145,9.7,78,100,3.0,overcast clouds
103,Xinqing,CN,48.2333,129.5,28.0,76,4,3.98,clear sky
104,Adrar,MR,20.5022,-10.0711,85.46,11,0,11.52,clear sky
105,Caruray,PH,10.3094,119.0128,78.75,85,87,3.31,overcast clouds
106,Cherskiy,RU,68.75,161.3,16.56,94,100,8.03,light snow
107,Sitka,US,57.0531,-135.33,42.69,61,40,8.05,scattered clouds
108,Manono,CD,-7.3,27.4167,70.47,94,100,1.28,overcast clouds
109,Esmeralda,CU,21.8525,-78.1169,85.41,49,37,14.54,scattered clouds
110,Tuktoyaktuk,CA,69.4541,-133.0374,1.78,81,28,5.03,scattered clouds
111,Rajanpur,PK,29.1035,70.325,89.76,5,9,6.02,clear sky
112,Faanui,PF,-16.4833,-151.75,81.9,72,4,15.5,light rain
113,North Bend,US,43.4065,-124.2243,51.85,80,40,14.97,scattered clouds
114,Ravar,IR,31.2656,56.8055,76.17,18,100,6.78,overcast clouds
115,Dikson,RU,73.5069,80.5464,11.57,94,100,16.24,overcast clouds
116,Kaitangata,NZ,-46.2817,169.8464,41.4,89,77,4.18,broken clouds
117,Vanderhoof,CA,54.0166,-124.0198,40.23,37,100,2.55,overcast clouds
118,Sinnamary,GF,5.3833,-52.95,80.42,77,99,10.8,overcast clouds
119,Yellowknife,CA,62.456,-114.3525,10.56,55,51,10.0,broken clouds
120,Porto Novo,BJ,6.4965,2.6036,81.91,77,96,7.02,overcast clouds
121,Bilma,NE,18.6853,12.9164,89.92,9,10,3.51,clear sky
122,Hailey,US,43.5196,-114.3153,36.99,83,100,13.8,snow
123,Nenjiang,CN,49.1833,125.2167,29.64,54,8,7.49,clear sky
124,Ostersund,SE,63.1792,14.6357,39.65,75,100,9.22,overcast clouds
125,Butaritari,KI,3.0707,172.7902,80.83,79,45,14.38,scattered clouds
126,Faya,SA,18.3851,42.4509,66.72,44,4,3.83,clear sky
127,Banikoara,BJ,11.2985,2.4386,84.34,47,100,5.91,overcast clouds
128,Raudeberg,NO,61.9875,5.1352,45.86,73,100,16.69,overcast clouds
129,Dunedin,NZ,-45.8742,170.5036,49.8,67,52,1.01,broken clouds
130,Ortakoy,TR,38.7373,34.0387,46.65,48,99,2.62,overcast clouds
131,Mar Del Plata,AR,-38.0023,-57.5575,69.82,83,0,14.0,clear sky
132,Tab,HU,46.7314,18.032,47.25,90,100,9.33,overcast clouds
133,Ancud,CL,-41.8697,-73.8203,64.22,67,26,4.34,scattered clouds
134,Sao Filipe,CV,14.8961,-24.4956,71.4,78,58,13.53,broken clouds
135,Awjilah,LY,29.1081,21.2869,77.47,20,30,18.57,scattered clouds
136,Mount Isa,AU,-20.7333,139.5,65.97,39,2,4.61,clear sky
137,Siirt,TR,37.9326,41.9403,53.01,54,0,3.53,clear sky
138,Thompson,CA,55.7435,-97.8558,25.48,58,100,3.02,overcast clouds
139,Maracaibo,VE,10.6317,-71.6406,91.02,52,29,3.98,scattered clouds
140,Nanortalik,GL,60.1432,-45.2371,31.3,80,7,9.82,clear sky
141,Avera,US,33.194,-82.5271,72.91,75,100,8.37,overcast clouds
142,Mackenzie,CA,55.2999,-123.1698,35.82,48,100,4.61,overcast clouds
143,Esperance,AU,-33.8667,121.9,62.44,68,100,14.05,overcast clouds
144,Xai-Xai,MZ,-25.0519,33.6442,71.85,91,100,16.87,moderate rain
145,Mollendo,PE,-17.0231,-72.0147,68.92,73,96,8.9,overcast clouds
146,Agropoli,IT,40.3469,14.9966,62.44,69,100,9.13,overcast clouds
147,Yar-Sale,RU,66.8333,70.8333,13.51,91,100,15.43,overcast clouds
148,Erenhot,CN,43.6475,111.9767,46.04,27,100,6.04,overcast clouds
149,Groningen,NL,53.25,6.75,49.15,60,16,4.61,few clouds
150,Erzin,TR,36.9559,36.2,59.47,60,3,4.61,clear sky
151,Coquimbo,CL,-29.9533,-71.3436,60.53,77,20,11.5,few clouds
152,Atar,MR,20.5169,-13.0499,87.64,9,0,7.18,clear sky
153,Sri Aman,MY,1.2376,111.4621,73.44,99,100,0.81,overcast clouds
154,Bom Jesus,BR,-9.0744,-44.3586,85.05,58,99,3.15,very heavy rain
155,Byron Bay,AU,-28.65,153.6167,61.95,86,55,9.01,light rain
156,Baykalsk,RU,51.5058,104.1469,37.13,78,27,10.65,scattered clouds
157,Aklavik,CA,68.2191,-135.0107,9.84,80,17,11.61,few clouds
158,Kibondo,TZ,-3.5864,30.7203,60.17,92,65,2.26,broken clouds
159,Camacha,PT,33.0833,-16.3333,63.82,63,20,16.11,few clouds
160,Chokurdakh,RU,70.6333,147.9167,-14.21,100,99,2.48,overcast clouds
161,Cayenne,GF,4.9333,-52.3333,84.24,1,75,11.5,broken clouds
162,Varna,BG,43.2167,27.9167,61.88,88,100,0.0,overcast clouds
163,Kruisfontein,ZA,-34.0033,24.7314,60.89,81,100,6.6,light rain
164,Meulaboh,ID,4.1363,96.1285,78.73,84,30,0.74,light rain
165,Kumluca,TR,36.3703,30.2869,65.14,54,38,4.83,scattered clouds
166,Pevek,RU,69.7008,170.3133,6.6,93,100,4.88,overcast clouds
167,Yakeshi,CN,49.2833,120.7333,27.86,52,34,3.98,scattered clouds
168,Kodiak,US,57.79,-152.4072,36.91,87,100,19.57,light rain
169,Williston,US,48.147,-103.618,32.04,60,49,1.99,scattered clouds
170,Hami,CN,42.8,93.45,50.97,24,0,7.83,clear sky
171,Sechura,PE,-5.5569,-80.8222,80.4,55,29,15.73,scattered clouds
172,Port Blair,IN,11.6667,92.75,83.44,66,65,2.8,broken clouds
173,Nerchinskiy Zavod,RU,51.3088,119.61,22.82,62,59,4.59,broken clouds
174,Takaka,NZ,-40.85,172.8,60.57,84,45,7.99,scattered clouds
175,Broken Hill,AU,-31.95,141.4333,66.0,42,0,11.9,clear sky
176,Yurla,RU,59.3259,54.3223,16.9,96,22,3.85,few clouds
177,Hasaki,JP,35.7333,140.8333,43.2,63,100,8.52,overcast clouds
178,Tuatapere,NZ,-46.1333,167.6833,41.7,89,67,4.92,broken clouds
179,Kaili,ID,-3.4626,120.2147,68.02,93,100,3.13,overcast clouds
180,Alofi,NU,-19.0595,-169.9187,82.29,83,40,4.61,scattered clouds
181,Tabou,CI,4.423,-7.3528,79.9,80,97,7.18,overcast clouds
182,Makhachkala,RU,42.9764,47.5024,42.78,67,1,7.67,clear sky
183,Port Augusta,AU,-32.5,137.7667,67.95,41,2,6.44,clear sky
184,Awbari,LY,26.5921,12.7805,70.92,26,0,19.95,clear sky
185,Lompoc,US,34.6391,-120.4579,65.61,70,75,15.99,broken clouds
186,Norton,ZW,-17.8833,30.7,68.27,76,98,8.72,overcast clouds
187,Khandyga,RU,62.6667,135.6,-0.13,99,99,0.63,overcast clouds
188,Yumen,CN,40.2833,97.2,39.96,23,0,11.27,clear sky
189,Amarante Do Maranhao,BR,-5.5667,-46.7422,81.0,86,18,2.13,few clouds
190,Beringovskiy,RU,63.05,179.3167,30.02,97,100,19.13,snow
191,Khatanga,RU,71.9667,102.5,18.37,97,100,6.46,light snow
192,Rawson,AR,-43.3002,-65.1023,59.13,53,0,12.06,clear sky
193,Storozhevaya,RU,43.8789,41.4514,43.63,81,6,4.45,clear sky
194,Riyadh,SA,24.6877,46.7219,77.14,23,17,8.05,few clouds
195,Botwood,CA,49.1499,-55.3482,57.9,63,32,14.56,scattered clouds
196,Saint-Pierre,RE,-21.3393,55.4781,74.91,81,20,5.75,few clouds
197,Leiyang,CN,26.4024,112.8591,51.15,95,100,4.14,overcast clouds
198,Linhares,BR,-19.3911,-40.0722,73.9,72,79,7.16,broken clouds
199,Vulcan,RO,45.3833,23.2667,43.72,84,80,5.44,broken clouds
200,Bonthe,SL,7.5264,-12.505,78.87,76,92,9.15,overcast clouds
201,Daman,IN,20.4167,72.85,80.47,76,0,8.05,clear sky
202,Sovetskiy,RU,61.3614,63.5842,28.87,98,100,3.06,light snow
203,Ahipara,NZ,-35.1667,173.1667,63.48,84,100,11.05,overcast clouds
204,Maamba,ZM,-17.3667,27.15,72.12,72,99,2.13,light rain
205,Buala,SB,-8.145,159.5921,79.74,80,100,4.85,light rain
206,Nizhniy Tsasuchey,RU,50.5167,115.1333,30.42,45,85,6.87,overcast clouds
207,Venado Tuerto,AR,-33.7456,-61.9688,72.77,28,3,5.21,clear sky
208,Kijang,KR,35.2442,129.2139,51.93,57,98,4.99,overcast clouds
209,Bethel,US,41.3712,-73.414,66.36,53,20,10.36,few clouds
210,Prince Rupert,CA,54.3161,-130.3201,46.49,49,0,4.61,clear sky
211,Tessaoua,NE,13.7574,7.9874,91.04,25,82,8.52,broken clouds
212,San Bartolome De Tirajana,ES,27.9248,-15.5733,60.31,81,0,20.71,clear sky
213,Catacocha,EC,-4.0667,-79.6333,65.37,82,85,6.6,moderate rain
214,Codrington,AU,-38.2667,141.9667,67.51,41,100,18.32,overcast clouds
215,New Norfolk,AU,-42.7826,147.0587,57.92,76,100,2.68,overcast clouds
216,Joyabaj,GT,14.995,-90.8061,87.62,23,85,8.97,overcast clouds
217,Arys,KZ,42.4252,68.795,66.65,40,100,5.39,overcast clouds
218,Horadiz,AZ,39.4488,47.3353,51.69,59,83,4.5,broken clouds
219,Rulenge,TZ,-2.7175,30.6325,60.98,95,92,1.19,overcast clouds
