City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
588,Qinzhou,CN,59.02,overcast clouds,21.95,108.6167,Jinjiang Inn Style Qingzhou Walmart
595,Dongsheng,CN,45.48,light rain,39.8161,109.9776,Crowne Plaza Ordos
598,Wagga Wagga,AU,56.61,few clouds,-35.1167,147.3667,The Club Motel and Apartments
617,Millinocket,US,44.71,light rain,45.6573,-68.7098,Katahdin Inn & Suites
621,Lakes Entrance,AU,58.06,overcast clouds,-37.8811,147.981,The Esplanade Resort & Spa
625,Seoul,KR,44.04,mist,37.5683,126.9778,롯데호텔 서울
632,Storsteinnes,NO,41.38,overcast clouds,69.2408,19.2344,Tingvoll
636,Yoichi,JP,40.84,overcast clouds,43.2039,140.7703,Marumatta Farm 21
640,Butembo,CD,57.63,overcast clouds,0.15,29.2833,Hotel Butembo
645,Yining,CN,50.4,overcast clouds,29.0361,114.5636,Xiushui Hotel
649,Astana,KZ,55.35,clear sky,51.1801,71.446,King Hotel Astana
651,Khasan,RU,44.67,overcast clouds,42.4308,130.6434,Fangchuan Self-Driving Camp
662,Yatou,CN,48.33,clear sky,37.15,122.3833,GreenTree Hotel Rongcheng Bus Station
664,Holme,DK,44.19,scattered clouds,56.1138,10.1725,Hotel Ritz Aarhus City
668,Shubarkuduk,KZ,47.82,overcast clouds,49.1447,56.4872,Sirius
669,Saint-Lo,FR,50.43,scattered clouds,49.1162,-1.0903,Hôtel Mercure Saint-Lô Centre
671,Portland,US,54.68,broken clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
677,Bajmok,RS,43.61,overcast clouds,45.9688,19.4243,Kuca Puna Slova
689,Comodoro Rivadavia,AR,58.86,clear sky,-45.8667,-67.5,Austral Hotel
692,Kaspiysk,RU,42.98,clear sky,42.8816,47.6392,Alima Hostel
